DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (11.911177 10.315382 9.7254353) with tilt (-5.9555885 -5.9555885 3.4384606)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:221)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  112 atoms
  read_data CPU = 0.016 seconds
16 atoms in group Li
32 atoms in group Mn
64 atoms in group O
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.8
  ghost atom cutoff = 6.8
  binsize = 3.4, bins = 8 5 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton/tri
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 9.187 | 9.187 | 9.187 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press            Lx             Ly             Lz      
      1400   218.76766     -212.15945      3.1388513     -209.0206       9106.5588      11.802892      10.221515      9.6354345    
      1500   236.98105     -212.43109      3.4001748     -209.03092      8477.5525      11.808688      10.227861      9.6405058    
      1600   189.94378     -211.76331      2.7252899     -209.03802      6492.9183      11.817261      10.236228      9.6476648    
      1700   215.80802     -212.13947      3.0963868     -209.04308      6023.5343      11.827307      10.246097      9.6559811    
      1800   242.89116     -212.53173      3.4849722     -209.04675     -1892.8518      11.838128      10.257003      9.6651698    
      1900   228.74433     -212.32584      3.2819953     -209.04384      557.19281      11.849536      10.268103      9.6746441    
      2000   229.41677     -212.32541      3.2916435     -209.03377     -5279.0759      11.860321      10.278772      9.6841077    
      2100   225.26299     -212.25284      3.2320455     -209.02079     -6394.7853      11.870133      10.288023      9.6927636    
      2200   218.68269     -212.14302      3.1376322     -209.00539     -8444.7531      11.878551      10.29545       9.6999291    
      2300   225.59319     -212.22894      3.2367831     -208.99216     -11547.871      11.884313      10.300847      9.70522      
      2400   227.89786     -212.25197      3.2698503     -208.98212     -10386.163      11.887136      10.303526      9.7081848    
      2500   205.2188      -211.92213      2.944454      -208.97768     -10093.639      11.887583      10.302815      9.7088893    
      2600   231.70858     -212.30382      3.3245259     -208.97929     -10218.593      11.885241      10.298854      9.7074702    
      2700   224.8917      -212.2119       3.2267183     -208.98518     -8240.1096      11.880201      10.292272      9.7036187    
      2800   233.21007     -212.33832      3.3460692     -208.99225     -8264.5281      11.872815      10.283313      9.6976047    
      2900   201.10044     -211.88235      2.8853643     -208.99699     -3118.2127      11.86359       10.272553      9.6900131    
      3000   235.39342     -212.37889      3.3773956     -209.00149     -1453.178       11.853212      10.260518      9.6809227    
      3100   243.64438     -212.49224      3.4957793     -208.99646     -440.26342      11.842423      10.248046      9.671256     
      3200   202.38667     -211.88826      2.9038189     -208.98444      7847.1252      11.832008      10.235941      9.6616794    
      3300   234.04052     -212.32783      3.3579844     -208.96984      3515.157       11.822411      10.225313      9.6528592    
      3400   227.99355     -212.2222       3.2712233     -208.95098      9078.9135      11.814223      10.216528      9.6452535    
      3500   218.38344     -212.06763      3.1333385     -208.9343       9419.0544      11.80802       10.21026       9.6396632    
      3600   229.35452     -212.21118      3.2907503     -208.92043      10312.788      11.804535      10.206642      9.6361958    
      3700   224.88711     -212.13993      3.2266524     -208.91328      10439.914      11.803612      10.205985      9.63528      
      3800   246.69864     -212.44991      3.5396015     -208.91031      11548.918      11.805329      10.208282      9.6367754    
      3900   249.01229     -212.48625      3.5727974     -208.91345      6666.6334      11.810307      10.213196      9.6405833    
      4000   236.89881     -212.31642      3.3989948     -208.91742      5705.9586      11.818033      10.220314      9.6465926    
      4100   209.79199     -211.92887      3.0100695     -208.9188       4103.8325      11.827876      10.229037      9.6539591    
      4200   245.02444     -212.4335       3.5155803     -208.91792      1938.5152      11.838587      10.238836      9.6623662    
      4300   219.10324     -212.05721      3.1436661     -208.91354     -416.6839       11.850091      10.249422      9.671059     
      4400   228.5467      -212.17953      3.2791598     -208.90037     -4000.1025      11.861374      10.260102      9.6796135    
      4500   231.76847     -212.20862      3.3253853     -208.88323     -6473.1618      11.871664      10.269775      9.6871674    
      4600   227.01855     -212.12077      3.2572341     -208.86354     -8262.4028      11.880039      10.277699      9.6931144    
      4700   248.95018     -212.41901      3.5719063     -208.8471      -9075.8244      11.886018      10.283665      9.6970068    
      4800   213.89802     -211.90318      3.0689822     -208.8342      -8427.7927      11.888967      10.287476      9.6983382    
      4900   208.2165      -211.81293      2.9874645     -208.82547     -8176.1747      11.888699      10.288918      9.697458     
      5000   231.50209     -212.14378      3.3215633     -208.82222     -7535.1308      11.885283      10.288035      9.6947146    
      5100   219.66948     -211.97391      3.1517905     -208.82212     -6670.5172      11.878793      10.285129      9.6902821    
      5200   225.6944      -212.05982      3.2382353     -208.82158     -4691.7853      11.870225      10.280388      9.6841784    
      5300   247.00102     -212.36474      3.54394       -208.8208      -4902.6833      11.86018       10.274045      9.6768552    
      5400   231.30879     -212.13434      3.3187899     -208.81555     -1155.9388      11.848946      10.26644       9.6691872    
      5500   232.75208     -212.14664      3.3394979     -208.80714      851.13259      11.837607      10.258016      9.6610698    
      5600   249.32628     -212.37291      3.5773025     -208.79561      565.7582       11.826827      10.249749      9.652958     
      5700   225.97232     -212.01923      3.2422228     -208.777        7375.4531      11.817151      10.242187      9.6456392    
      5800   235.58644     -212.13739      3.3801651     -208.75723      10172.989      11.809777      10.236264      9.6395952    
      5900   219.90599     -211.89477      3.1551839     -208.73958      8138.3088      11.805381      10.232197      9.6359485    
      6000   240.25033     -212.17476      3.4470819     -208.72768      10284.22       11.803568      10.230207      9.6340604    
      6100   219.45142     -211.86832      3.1486617     -208.71966      6966.2296      11.804654      10.230589      9.6343153    
      6200   225.42268     -211.94894      3.2343367     -208.7146       8238.7853      11.808514      10.232849      9.6365756    
      6300   229.03264     -211.99913      3.286132      -208.713        8170.4856      11.814772      10.237271      9.6404914    
      6400   229.25241     -212.00174      3.2892851     -208.71246      3471.8647      11.823039      10.24383       9.6463033    
      6500   262.01606     -212.47151      3.7593739     -208.71214      2198.2976      11.833059      10.251815      9.6534112    
      6600   232.83831     -212.04677      3.3407352     -208.70603      2601.282       11.844316      10.260655      9.6617774    
      6700   247.68273     -212.25015      3.5537212     -208.69643     -2812.6952      11.856063      10.269537      9.6704576    
      6800   253.27363     -212.31618      3.6339387     -208.68224     -3621.3294      11.867624      10.278228      9.6790082    
      6900   221.05492     -211.83582      3.1716686     -208.66415     -5818.979       11.878003      10.285767      9.6869918    
      7000   226.95184     -211.90077      3.2562768     -208.64449     -9803.6438      11.886812      10.291539      9.6940895    
      7100   236.69627     -212.02102      3.3960888     -208.62494     -10481.218      11.893105      10.295086      9.699187     
      7200   203.84141     -211.5348       2.9246913     -208.61011     -9171.7251      11.896427      10.295997      9.7019514    
      7300   240.94208     -212.05878      3.4570071     -208.60178     -9962.0557      11.896673      10.294407      9.7023982    
      7400   237.62531     -212.00829      3.4094185     -208.59887     -8007.7966      11.894055      10.290069      9.700281     
      7500   220.8944      -211.76803      3.1693655     -208.59866     -5131.8774      11.888322      10.283367      9.6961688    
      7600   257.0305      -212.28935      3.6878418     -208.6015      -8077.846       11.880506      10.274445      9.690124     
      7700   240.15613     -212.04573      3.4457304     -208.6         -1667.1785      11.870441      10.264168      9.6824602    
      7800   252.26734     -212.2161       3.6195005     -208.5966      -2160.4963      11.858742      10.253007      9.6740177    
      7900   244.9229      -212.1          3.5141234     -208.58587      3091.9743      11.846106      10.2415        9.6652435    
      8000   220.99433     -211.73991      3.1707992     -208.56912      4324.1659      11.833945      10.230533      9.6565695    
      8100   235.32571     -211.92464      3.3764242     -208.54821      7475.6203      11.82314       10.220897      9.6488116    
      8200   248.98048     -212.09813      3.572341      -208.52579      8478.0383      11.814853      10.212723      9.642922     
      8300   240.20204     -211.9526       3.4463891     -208.50621      11828.181      11.809153      10.206418      9.6392091    
      8400   228.68545     -211.77212      3.2811505     -208.49096      12721.081      11.806699      10.202763      9.6381324    
      8500   248.12251     -212.04306      3.5600311     -208.48303      11359.634      11.807389      10.202371      9.6398384    
      8600   255.92263     -212.15396      3.6719461     -208.48202      9299.1569      11.811356      10.20553       9.6441153    
      8700   260.88161     -212.23008      3.7430971     -208.48699      8875.281       11.818546      10.211089      9.6506556    
      8800   231.84816     -211.81494      3.3265286     -208.48841      7113.7523      11.828671      10.218905      9.6592009    
      8900   249.11628     -212.0626       3.5742895     -208.48831      1942.5022      11.840275      10.228789      9.6690546    
      9000   243.87779     -211.98056      3.4991283     -208.48143     -404.96586      11.852419      10.240029      9.6792473    
      9100   245.92605     -211.99768      3.5285165     -208.46917     -3525.8733      11.864646      10.251658      9.6889411    
      9200   239.67132     -211.89023      3.4387743     -208.45146     -2966.7285      11.875794      10.263349      9.6977338    
      9300   227.88157     -211.70138      3.2696165     -208.43176     -8553.01        11.885162      10.274505      9.7051278    
      9400   253.34493     -212.04596      3.6349617     -208.411       -8081.936       11.891861      10.284355      9.7106021    
      9500   253.91637     -212.03575      3.6431607     -208.39259     -12519.885      11.895712      10.291895      9.7139253    
      9600   248.3123      -211.94225      3.5627541     -208.3795      -11231.737      11.896418      10.296556      9.7147477    
      9700   235.07895     -211.74404      3.3728836     -208.37115     -8741.2483      11.893898      10.298237      9.7132356    
      9800   234.1826      -211.73016      3.3600229     -208.37013     -8684.5526      11.888551      10.297278      9.7091857    
      9900   227.45647     -211.63628      3.2635172     -208.37276     -4327.7343      11.88021       10.293792      9.7030305    
     10000   265.443       -212.18413      3.8085433     -208.37559     -7041.7916      11.869631      10.28854       9.6950259    
     10100   238.25912     -211.79461      3.4185123     -208.3761      -4562.0976      11.857183      10.281813      9.6855625    
     10200   259.17717     -212.0932       3.7186419     -208.37455     -3932.9029      11.843501      10.273971      9.675052     
     10300   245.88157     -211.89432      3.5278783     -208.36644      1906.8522      11.829204      10.265358      9.6641768    
     10400   240.49922     -211.79998      3.4506529     -208.34933      6250.2245      11.81576       10.256642      9.6535209    
     10500   237.88697     -211.74304      3.4131727     -208.32986      7589.1631      11.804035      10.248565      9.6440324    
     10600   266.74733     -212.13503      3.8272576     -208.30777      9819.1157      11.79434       10.242087      9.6361397    
     10700   224.85446     -211.51271      3.2261839     -208.28653      12972.035      11.787888      10.238179      9.6305121    
     10800   261.60166     -212.02819      3.7534283     -208.27476      11996.941      11.784896      10.236683      9.627847     
     10900   240.80474     -211.724        3.4550365     -208.26896      11481.914      11.785934      10.238069      9.62845      
     11000   236.09235     -211.65949      3.3874238     -208.27207      12236.749      11.790656      10.242218      9.632154     
     11100   248.15662     -211.83789      3.5605204     -208.27737      6291.8367      11.798986      10.248457      9.6388716    
     11200   275.90352     -212.24414      3.9586295     -208.28551      3828.3308      11.810161      10.256153      9.6477506    
     11300   226.71022     -211.53889      3.2528102     -208.28608      4364.4365      11.823194      10.264837      9.6588117    
     11400   207.6368      -211.25894      2.9791471     -208.2798       1223.4782      11.837267      10.273687      9.6708996    
     11500   262.64918     -212.04007      3.7684579     -208.27162     -1340.0671      11.851586      10.281857      9.6836788    
     11600   241.42013     -211.7195       3.4638662     -208.25563     -10373.378      11.865976      10.289013      9.6959459    
     11700   269.02795     -212.09491      3.8599797     -208.23493     -8929.5512      11.878799      10.294496      9.7069997    
     11800   235.2986      -211.58743      3.3760351     -208.2114      -9936.6829      11.889716      10.297813      9.716319     
     11900   255.48939     -211.86255      3.6657301     -208.19682     -11973.934      11.89774       10.298348      9.7231808    
     12000   227.10001     -211.44069      3.2584028     -208.18228     -9702.8144      11.902816      10.296309      9.7274795    
     12100   252.00917     -211.79311      3.6157963     -208.17731     -10936.881      11.904311      10.29148       9.7292452    
     12200   254.26793     -211.82507      3.6482048     -208.17687     -9613.0009      11.902911      10.284034      9.7283619    
     12300   251.96566     -211.79643      3.6151721     -208.18126     -8393.6962      11.89856       10.274493      9.7245324    
     12400   255.20814     -211.84957      3.6616948     -208.18787     -5745.2025      11.89185       10.262962      9.7181279    
     12500   243.36645     -211.68308      3.4917916     -208.19129     -4659.3262      11.883156      10.249983      9.7095306    
     12600   276.34943     -212.15329      3.9650274     -208.18826     -556.86366      11.873083      10.236365      9.6995553    
     12700   244.52936     -211.68701      3.5084769     -208.17854      2931.0051      11.862598      10.222923      9.6890572    
     12800   240.15601     -211.61203      3.4457287     -208.1663       6214.7082      11.85174       10.210345      9.678237     
     12900   251.72907     -211.75408      3.6117775     -208.14231      6573.9388      11.842187      10.199713      9.6679758    
     13000   276.60734     -212.08984      3.9687278     -208.12111      12678.011      11.835017      10.191311      9.6590122    
     13100   276.87863     -212.07514      3.9726203     -208.10252      10527.406      11.830833      10.18612       9.6521631    
     13200   248.65531     -211.65742      3.5676756     -208.08974      15140.189      11.829801      10.184707      9.6477706    
     13300   255.39411     -211.74996      3.6643631     -208.0856       9076.4178      11.832271      10.187256      9.6459292    
     13400   265.33509     -211.89863      3.806995      -208.09163      13257.977      11.838305      10.193498      9.6464008    
     13500   252.00781     -211.71623      3.6157769     -208.10046      11446.428      11.847389      10.203508      9.6495652    
     13600   274.55564     -212.05091      3.9392903     -208.11162      2725.2032      11.859032      10.216544      9.6550169    
     13700   233.16462     -211.45819      3.345417      -208.11277      3766.0419      11.871968      10.231522      9.6620282    
     13800   256.43517     -211.78993      3.6793001     -208.11063     -37.571329      11.885317      10.247768      9.6699984    
     13900   251.23516     -211.70163      3.6046909     -208.09694     -3771.9959      11.898145      10.264344      9.6782891    
     14000   238.16701     -211.49158      3.4171908     -208.07439     -8995.1995      11.909159      10.280098      9.6859628    
     14100   237.10621     -211.45292      3.4019706     -208.05095     -6070.0175      11.917634      10.29445       9.6917594    
     14200   257.02743     -211.71689      3.6877977     -208.02909     -11675.889      11.923059      10.306526      9.695525     
     14300   237.56105     -211.4203       3.4084965     -208.0118      -11758.38       11.924487      10.315906      9.6964998    
     14400   267.37553     -211.84067      3.836271      -208.0044      -13206.979      11.921988      10.321979      9.6945587    
     14500   226.63029     -211.25422      3.2516633     -208.00256     -7901.6792      11.915575      10.324389      9.6899006    
     14600   255.78913     -211.68044      3.6700308     -208.01041     -12171.193      11.905376      10.323131      9.6829777    
     14700   244.48936     -211.52939      3.507903      -208.02149     -6901.4487      11.890921      10.319158      9.6737775    
     14800   237.37765     -211.43733      3.405865      -208.03146     -5952.7092      11.873529      10.312536      9.6628033    
     14900   248.39936     -211.59385      3.5640032     -208.02985      2132.7228      11.854251      10.303864      9.6510948    
     15000   252.09736     -211.64122      3.6170617     -208.02416     -559.64885      11.834377      10.294049      9.6393361    
     15100   251.05158     -211.60679      3.6020569     -208.00473      8543.3634      11.814868      10.283885      9.6281179    
     15200   257.32866     -211.67193      3.6921197     -207.97981      6759.3215      11.797247      10.274132      9.6187031    
     15300   263.10805     -211.72441      3.7750418     -207.94936      17278.044      11.78256       10.265804      9.6116293    
     15400   286.30745     -212.03474      4.1079039     -207.92683      10658.503      11.77185       10.259667      9.6080309    
     15500   264.23873     -211.70252      3.7912645     -207.91126      13431.437      11.76527       10.255741      9.6079288    
     15600   289.64526     -212.06225      4.1557943     -207.90646      14323.492      11.763097      10.254606      9.6115081    
     15700   275.45975     -211.86445      3.9522624     -207.91219      10430.513      11.765634      10.256363      9.6192225    
     15800   263.78203     -211.71137      3.7847119     -207.92666      11095.794      11.772724      10.260777      9.6302241    
     15900   267.47886     -211.77513      3.8377536     -207.93738      9330.0717      11.783932      10.267473      9.644065     
     16000   275.23097     -211.89984      3.9489799     -207.95086      4778.1531      11.798236      10.27599       9.6598729    
     16100   258.34633     -211.659        3.7067211     -207.95228     -210.70743      11.814754      10.285403      9.677168     
     16200   269.58379     -211.81165      3.8679548     -207.94369     -620.54124      11.832231      10.294472      9.6949625    
     16300   268.77495     -211.78115      3.8563497     -207.9248      -8483.4148      11.849958      10.30246       9.712281     
     16400   265.46287     -211.70903      3.8088284     -207.9002      -10118.588      11.867111      10.308217      9.7281617    
     16500   252.57862     -211.49474      3.6239668     -207.87077     -11955.332      11.882884      10.311091      9.7417473    
     16600   241.95839     -211.31428      3.471589      -207.84269     -14623.265      11.896413      10.31092       9.7521758    
     16700   260.93951     -211.56854      3.7439278     -207.82462     -16566.839      11.906566      10.306723      9.758837     
     16800   262.4822      -211.58346      3.766062      -207.8174      -18298.671      11.912968      10.298146      9.7610496    
     16900   267.89893     -211.66989      3.8437807     -207.82611     -17103.787      11.915313      10.285508      9.7586985    
     17000   266.04719     -211.65948      3.8172122     -207.84227     -12514.82       11.91385       10.268926      9.7516452    
     17100   251.10859     -211.46241      3.602875      -207.85953     -7901.1911      11.908886      10.249599      9.7407523    
     17200   264.01419     -211.65601      3.7880429     -207.86796     -7089.5937      11.900726      10.22878       9.7267947    
     17300   230.72809     -211.18172      3.3104581     -207.87126     -1390.4959      11.890445      10.207556      9.7104425    
     17400   286.18051     -211.95809      4.1060824     -207.85201      4106.2468      11.879389      10.187035      9.6929512    
     17500   264.52341     -211.61796      3.7953492     -207.82262      7373.9489      11.868898      10.168734      9.6757743    
     17600   278.96035     -211.79141      4.0024886     -207.78892      11142.378      11.859475      10.153751      9.6594161    
     17700   280.29564     -211.77668      4.0216472     -207.75503      11056.475      11.851586      10.14308       9.6449055    
     17800   253.61583     -211.36202      3.6388485     -207.72317      19680.617      11.845838      10.137261      9.6331141    
     17900   265.26762     -211.51125      3.8060269     -207.70523      14790.17       11.843079      10.136909      9.6249745    
     18000   283.64679     -211.77391      4.069729      -207.70418      18405.836      11.843577      10.142356      9.620588     
     18100   264.03886     -211.50877      3.7883968     -207.72037      16149.064      11.84701       10.154329      9.6204514    
     18200   291.09653     -211.92226      4.176617      -207.74564      11034.431      11.853211      10.171665      9.6242792    
     18300   263.12653     -211.55122      3.7753069     -207.77591      8042.7134      11.861357      10.193888      9.6315176    
     18400   271.58156     -211.69621      3.8966186     -207.79959      5381.5841      11.870647      10.220188      9.6411408    
     18500   293.14731     -212.00697      4.2060412     -207.80093     -3310.2735      11.880117      10.248666      9.6521397    
     18600   276.96556     -211.7649       3.9738675     -207.79103     -291.4729       11.888924      10.277536      9.6637125    
     18700   222.50854     -210.95355      3.192525      -207.76103     -6236.499       11.896094      10.305812      9.6750515    
     18800   280.95937     -211.75733      4.0311702     -207.72616     -9834.0644      11.900969      10.331446      9.6854791    
     18900   257.45581     -211.38438      3.6939441     -207.69044     -11358.126      11.902736      10.35402       9.6939148    
     19000   259.18621     -211.37357      3.7187716     -207.6548      -16284.445      11.900729      10.372385      9.7001591    
     19100   242.85438     -211.11311      3.4844445     -207.62867     -12752.099      11.895169      10.385605      9.7035101    
     19200   271.38373     -211.50748      3.8937802     -207.6137      -15467.753      11.886215      10.393444      9.7039478    
     19300   259.63943     -211.33791      3.7252744     -207.61264     -13625.494      11.873403      10.395752      9.7014728    
     19400   268.58138     -211.4733       3.8535724     -207.61972     -13057.894      11.857703      10.392636      9.6964338    
     19500   262.12554     -211.39449      3.7609447     -207.63354     -9572.0444      11.839452      10.384798      9.6893322    
     19600   266.30706     -211.47066      3.8209407     -207.64972     -4352.5303      11.819802      10.372151      9.6803156    
     19700   271.75467     -211.55736      3.8991023     -207.65826     -1939.2058      11.799581      10.355753      9.6700285    
     19800   275.39245     -211.6009       3.9512967     -207.6496      -770.61802      11.780427      10.336973      9.6596739    
     19900   252.8232      -211.26363      3.627476      -207.63616      7544.0486      11.763763      10.316606      9.6498805    
     20000   294.0655      -211.83473      4.2192154     -207.61552      9479.5721      11.750265      10.295784      9.6417717    
     20100   305.42448     -211.96563      4.3821926     -207.58343      13038.14       11.740995      10.276006      9.6365604    
     20200   274.26174     -211.49223      3.9350735     -207.55715      14879.271      11.73722       10.258633      9.6350791    
     20300   295.39794     -211.78101      4.238333      -207.54268      15098.77       11.739574      10.244073      9.6369738    
     20400   263.75915     -211.3233       3.7843836     -207.53892      15241.196      11.747786      10.233147      9.6423882    
     20500   277.4924      -211.52964      3.9814266     -207.54821      16048.392      11.761236      10.225503      9.6505995    
     20600   295.74337     -211.80935      4.2432893     -207.56606      13286.28       11.780322      10.221087      9.6614793    
     20700   295.80821     -211.82519      4.2442196     -207.58097      9080.862       11.803625      10.219759      9.6749033    
     20800   264.10555     -211.37853      3.7893537     -207.58918      6227.762       11.829931      10.221131      9.6896874    
     20900   292.23145     -211.78321      4.1929007     -207.59031      672.45831      11.858106      10.224299      9.7052182    
     21000   277.50565     -211.55445      3.9816167     -207.57283     -3260.2231      11.886365      10.228544      9.7205872    
     21100   295.37225     -211.77722      4.2379644     -207.53925     -8367.1747      11.913183      10.233049      9.7344783    
     21200   266.5417      -211.32619      3.8243072     -207.50189     -9005.5998      11.936897      10.236955      9.7463536    
     21300   249.583       -211.04235      3.5809859     -207.46137     -13426.04       11.956566      10.239603      9.7552304    
     21400   289.42451     -211.58333      4.1526271     -207.4307      -12655.662      11.970877      10.240884      9.7601879    
     21500   277.61939     -211.39536      3.9832486     -207.41211     -16959.346      11.979986      10.240616      9.7612499    
     21600   235.70423     -210.78567      3.3818551     -207.40382     -12430.972      11.983414      10.238204      9.758889     
     21700   251.6369      -211.01806      3.610455      -207.40761     -14800.305      11.980676      10.23382       9.752796     
     21800   260.10455     -211.15545      3.7319479     -207.4235      -10290.499      11.97231       10.227687      9.7428705    
     21900   264.69985     -211.23899      3.7978806     -207.44111     -9964.6073      11.958699      10.220595      9.7296424    
     22000   251.55127     -211.07371      3.6092265     -207.46449     -4309.199       11.940613      10.212698      9.7139574    
     22100   293.04033     -211.67803      4.2045063     -207.47353     -2894.5772      11.918918      10.204976      9.6967568    
     22200   269.23899     -211.33786      3.8630077     -207.47485      3086.064       11.895041      10.198248      9.6790249    
     22300   270.2745      -211.33389      3.8778651     -207.45603      6336.9895      11.870407      10.193238      9.6619218    
     22400   289.21744     -211.57975      4.149656      -207.43009      11503.004      11.846766      10.190916      9.6466453    
     22500   300.46407     -211.71402      4.3110212     -207.403        13873.324      11.825186      10.191917      9.6340431    
     22600   308.9796      -211.80635      4.4332009     -207.37315      12125.95       11.807136      10.19683       9.6251407    
     22700   264.10254     -211.14598      3.7893105     -207.35667      18664.49       11.793224      10.205678      9.6196736    
     22800   317.24273     -211.90531      4.5517595     -207.35355      13862.84       11.784085      10.218854      9.6177934    
     22900   288.58849     -211.49788      4.1406319     -207.35725      13566.55       11.780201      10.235841      9.6194186    
     23000   297.68789     -211.64039      4.271189      -207.3692       11580.798      11.780976      10.255787      9.6245403    
     23100   257.03652     -211.07242      3.6879282     -207.3845       11147.779      11.785845      10.278194      9.6329057    
     23200   277.5303      -211.37103      3.9819704     -207.38906      6738.3389      11.794319      10.301592      9.6437625    
     23300   294.26164     -211.60494      4.2220295     -207.38291     -2950.1193      11.805497      10.324957      9.6558387    
     23400   283.98315     -211.43895      4.0745551     -207.3644      -2405.3588      11.818239      10.346648      9.6680548    
     23500   261.87115     -211.08963      3.7572948     -207.33233     -7330.0665      11.831128      10.365916      9.67977      
     23600   252.9222      -210.9312       3.6288963     -207.30231     -7798.5439      11.843204      10.381705      9.689801     
     23700   275.08353     -211.2172       3.9468644     -207.27033     -11866.035      11.854376      10.39321       9.6976823    
     23800   261.9432      -211.00177      3.7583286     -207.24344     -13485.37       11.863009      10.399879      9.7030331    
     23900   295.19269     -211.4648       4.2353881     -207.22941     -13856.426      11.868862      10.401316      9.7056425    
     24000   258.8734      -210.94079      3.7142834     -207.2265      -13799.399      11.872138      10.397094      9.7055056    
     24100   276.21392     -211.19918      3.9630831     -207.2361      -11416.233      11.872634      10.387531      9.7024923    
     24200   283.70512     -211.32169      4.0705659     -207.25112     -9204.7721      11.87047       10.373645      9.697068     
     24300   253.53323     -210.9073       3.6376633     -207.26964     -7929.9107      11.866181      10.355599      9.6901043    
     24400   293.10016     -211.49094      4.2053648     -207.28558     -6639.7315      11.860629      10.334214      9.6814631    
     24500   288.91616     -211.43939      4.1453333     -207.29405     -2171.8273      11.854413      10.310364      9.6722177    
     24600   294.97922     -211.52085      4.2323253     -207.28853     -212.90899      11.847886      10.285351      9.6627407    
     24700   279.66976     -211.28834      4.0126671     -207.27568      6757.1299      11.841825      10.26054       9.6540428    
     24800   298.22801     -211.52984      4.2789386     -207.2509       6131.0639      11.837124      10.236758      9.6465146    
     24900   289.64811     -211.37482      4.1558352     -207.21899      8885.1235      11.83422       10.215426      9.6410613    
     25000   278.57002     -211.18843      3.9968882     -207.19155      12282.831      11.83321       10.197276      9.6380405    
     25100   271.74105     -211.0666       3.898907      -207.16769      15198.625      11.834893      10.182958      9.6377328    
     25200   264.97004     -210.95512      3.8017574     -207.15336      14711.731      11.839868      10.172866      9.6403202    
